T,α,τ,benefit_risk_heuristic,biggest_difference_heuristic,h,highest_prob_heuristic,least_difference_heuristic,neutral_heuristic,optimal
5,0.2,1,0.797568504539551,4.94182852561053,1,1.96908049792188,1.96908049792188,0.415750406161333,0.413635464746096
5,0.3,1,0.82236823875153,4.03900619336133,1,2.08529886362706,2.08529886362706,0.429518914324479,0.421578846321343
6,0.1,0.2,9.42298570253208,9.5319987196341,-1,9.16165258736126,9.16165258736126,8.14252584511304,8.14252533419158
6,0.2,0.2,9.32828553078901,9.40911513211415,-1,9.19983997624316,9.19983997624316,8.18090625003811,8.17708739054133
6,0.3,0.2,9.26936761080844,9.32713730174497,-1,9.24194467526106,9.24194467526106,8.23694289334059,8.22574202201859
6,0.1,0.4,8.6934943582142,9.11428679179593,-1,8.51357030541145,8.51357030541145,6.24009598296333,6.24000618352535
6,0.2,0.4,8.58322292879971,8.88620554822571,-1,8.5279154166553,8.5279154166553,6.26171608604338,6.24945233746493
6,0.3,0.4,8.51498264082461,8.73068567807216,-1,8.54962740523487,8.54962740523487,6.30575002219272,6.26967139922451
6,0.1,0.6,7.59871445523357,8.64490940617098,-1,7.77010134314068,7.77010134314068,4.32222273303025,4.3219629469855
6,0.2,0.6,7.51570864492264,8.29226440978261,-1,7.79162143195724,7.79162143195724,4.35459920048186,4.33604413382222
6,0.3,0.6,7.46295570326361,8.05083969258486,-1,7.82423153151832,7.82423153151832,4.42077389257213,4.36639460666673
6,0.1,0.8,4.38736164704894,7.87465733843116,-1,7.0264577778518,7.0264577778518,2.37563339379634,2.37534458478851
6,0.2,0.8,6.33293090344117,7.30990695692997,-1,7.05515507202877,7.05515507202877,2.41916097122332,2.39447706539578
6,0.3,0.8,6.23051697738899,6.92554689253747,-1,7.09869171025029,7.09869171025029,2.50817610371785,2.43563633285926
6,0.1,1,0.577239062898531,5.3743106406679,-1,6.28262703033623,6.28262703033623,0.384727156543847,0.384727156543847
6,0.2,1,0.514103949809536,4.1906053157552,-1,6.31850362718604,6.31850362718604,0.439746003305596,0.40899350270441
6,0.3,1,0.836284623738486,3.41378176756287,-1,6.37299753633436,6.37299753633436,0.552286098772516,0.460888063334749
6,0.1,0.2,5.92207333645287,6.12208552066372,-0.8,6.25507505288975,6.25507505288975,5.20140062929503,5.20140062929503
6,0.2,0.2,5.78543459457319,5.93433094899808,-0.8,6.26394978237031,6.26394978237031,5.2266360781598,5.22331985207739
6,0.3,0.2,5.69517797316936,5.80084694518616,-0.8,6.2726716361442,6.2726716361442,5.26335079782744,5.24373374840886
6,0.1,0.4,5.10061861729499,5.91836588050033,-0.8,6.33252470551895,6.33252470551895,3.9863576106523,3.9863576106523
6,0.2,0.4,4.9835563654626,5.56331699263695,-0.8,6.32066933379055,6.32066933379055,3.99734172912471,3.98693013431835
6,0.3,0.4,4.92321697889784,5.31039589209333,-0.8,6.30759666177126,6.30759666177126,4.02438245338344,3.99167595112435
6,0.1,0.6,4.11117273173549,5.66070225794825,-0.8,6.29878738545917,6.29878738545917,2.77138886743318,2.77138886743318
6,0.2,0.6,3.98431696133592,5.0899995749935,-0.8,6.28100425863067,6.28100425863067,2.78785487434624,2.7722254691005
6,0.3,0.6,3.89213593398432,4.68676309137069,-0.8,6.26139517754367,6.26139517754367,2.82846269515259,2.77935872468974
6,0.1,0.8,1.74927803991223,5.33142051249803,-0.8,6.26505028409265,6.26505028409265,1.55058030489171,1.55058030489171
6,0.2,0.8,2.11076109116769,4.48062977998223,-0.8,6.24133935591989,6.24133935591989,1.57259202370658,1.55173877813501
6,0.3,0.8,2.82503113173829,3.88477121713692,-0.8,6.2151938169682,6.2151938169682,1.62689356167555,1.56122882121887
6,0.1,1,0.368654456130058,4.7177717423584,-0.8,6.23131340440249,6.23131340440249,0.322067835246092,0.322067835246092
6,0.2,1,0.29572666377183,3.38457590685143,-0.8,6.20167462803782,6.20167462803782,0.349666597203271,0.291648564312159
6,0.3,1,0.265902207819983,2.46101434721222,-0.8,6.16899258178771,6.16899258178771,0.417771629065317,0.24751405365974
6,0.1,0.2,3.44368894271316,3.71356269217978,-0.6,3.93617407526282,3.93617407526282,2.9421450507359,2.9421450507359
6,0.2,0.2,3.2881950880749,3.48799366852295,-0.6,3.92278423890574,3.92278423890574,2.95600150200865,2.93685836801653
6,0.3,0.2,3.178997922725,3.31978146509207,-0.6,3.90661762550673,3.90661762550673,2.97646766855969,2.92374714247187
6,0.1,0.4,2.79387533629542,3.90462732504997,-0.6,4.59104575267483,4.59104575267483,2.28117963294167,2.28117963294167
6,0.2,0.4,2.67996540575112,3.46147969262731,-0.6,4.55504853531895,4.55504853531895,2.28294521534519,2.27460501227691
6,0.3,0.4,2.59021505937037,3.13716238619735,-0.6,4.51045317188565,4.51045317188565,2.29552049877446,2.25954975722381
6,0.1,0.6,1.87993895434046,4.09946027306635,-0.6,5.08656863193397,5.08656863193397,1.62073403996682,1.62073403996682
6,0.2,0.6,2.12640718383944,3.39390697940827,-0.6,5.0325728057923,5.0325728057923,1.62337997005745,1.60822773795103
6,0.3,0.6,1.99826716202622,2.88252320276004,-0.6,4.96567976050854,4.96567976050854,1.64225135463034,1.57590822488855
6,0.1,0.8,0.994260801802228,4.31544688325462,-0.6,5.58209151314101,5.58209151314101,0.959571283734681,0.959571283734681
6,0.2,0.8,0.9436139372141,3.31103167229643,-0.6,5.51009707814165,5.51009707814165,0.963100404437892,0.925490733504775
6,0.3,0.8,1.2801500444779,2.58726704528268,-0.6,5.42090635091821,5.42090635091821,0.988279163641345,0.88220088799665
6,0.1,1,0.297578341873853,4.57800066352108,-0.6,6.07761439629655,6.07761439629655,0.297578341873853,0.297578341873853
6,0.2,1,0.231942988860097,3.19086210955089,-0.6,5.98762135236757,5.98762135236757,0.301991452703261,0.227937474795887
6,0.3,1,0.174395204478011,2.19627732835726,-0.6,5.87613294311521,5.87613294311521,0.333487628989688,0.173530316478411
6,0.1,0.2,1.79164345785173,2.10815898637689,-0.4,2.31308618804304,2.31308618804304,1.33424259455516,1.33424259455516
6,0.2,0.2,1.63213945850996,1.8651064216748,-0.4,2.27614585471691,2.27614585471691,1.33885246369863,1.32463030380452
6,0.3,0.2,1.5135556177697,1.67685215759687,-0.4,2.21475807832417,2.21475807832417,1.34671159440179,1.30664445828474
6,0.1,0.4,1.37835570053818,2.69259873265119,-0.4,3.37287920733521,3.37287920733521,1.0738001693582,1.0738001693582
6,0.2,0.4,1.27323542652373,2.19108375407064,-0.4,3.31501306214522,3.31501306214522,1.06797280266802,1.05325129136903
6,0.3,0.4,1.18475101701823,1.81744843679877,-0.4,3.17950528027154,3.17950528027154,1.069006882289,1.02713712763755
6,0.1,0.6,0.838685762195041,3.28992112809025,-0.4,4.25937696114745,4.25937696114745,0.810656509703759,0.810656509703759
6,0.2,0.6,0.88583125022582,2.51115370773836,-0.4,4.17254824555161,4.17254824555161,0.801914817697953,0.778056105112861
6,0.3,0.6,0.957494245483259,1.93486792061386,-0.4,3.96928521690587,3.96928521690587,0.803466071033457,0.738812957746226
6,0.1,0.8,0.568457218136719,3.91998909560719,-0.4,5.14591368216626,5.14591368216626,0.547483441056763,0.547483441056763
6,0.2,0.8,0.504908801371246,2.84767930315426,-0.4,5.03010262927841,5.03010262927841,0.535826992586838,0.501541977897369
6,0.3,0.8,0.527371224134461,2.05619082073104,-0.4,4.75908344529692,4.75908344529692,0.537895510001474,0.449110967902231
6,0.1,1,0.284279337130561,4.62005557177199,-0.4,6.03249079306648,6.03249079306648,0.284279337130561,0.284279337130561
